event,mag,K,c,p,p_K,p_c,p_p
ci14607652,7.2,17947.979590359875,4.59682549258604e-16,0.9261784959218756,0.006302786311420894,0.9999999999999996,9.342437934378722e-11
ci9108652,7.1,27554.279296433488,6.2342463541092314,1.0387050768853714,1.6152872648333982e-06,1.0529543681414566e-08,0.0
ci38457511,7.1,43700.48602747598,2.2194090460035799e-16,1.3167857233787308,0.024722820273894497,0.9999999999999998,1.2873258015133615e-11
ci3144585,6.7,245524.39421750288,7.56724624077073,1.9063751262484994,0.31969349424573634,0.0022442199267322938,1.1170697700180199e-09
nc71338066,6.5,179.29430105772528,3.585041334377132e-28,0.9118085118769809,0.46668654922051034,1.0,0.01838250066926972
